"initial.names","changed.names"
"Nr.","nr"
"Vaiko Identifikacinis Nr.","child.id"
"Vaiko gimimo data","born.date"
"Prašymo pateikimo data","application.date"
"Atitinka priskirta teritorija","match.district"
"Vaiko seniunija","child.district"
"Sutartis pasirašyta","contract.signed"
"Grupes pavadinimas","group.name"
"Grupes ugdomoji kalba","group.language"
"Grupes ugdymo metodika","group.method"
"Grupes tipas","group.type"
"Grupes amžiaus intervalas","group.age"
"Darželio pavadinimas","kg.name"
"Darželio Seniunija","kg.district"
"Iš eiles/be eiles","from.queue"
"Laukia eileje, laukia pakeisti darželi","in.queue"
