"initial.names","changed.names"
"Nr.","nr"
"Registracijos numeris","reg.nr"
"Prašymo pateikimo data","application.date"
"Vaiko Identifikacinis Nr.","child.id"
"Vaiko gimimo data","born.date"
"Lankymo data","entry.date"
"Vaiko seniunija","child.district"
"Prioritetas (deklaruotas mieste)","priority.in.city"
"Prioritetas (šeimoje 3 ir daugiau vaiku)","priority.3.or.more"
"Prioritetas (žemas darbingumo lygis)","priority.low.work"
"Prioritetas (augina tik vienas iš tevu)","priority.alone.parent"
"1 pasirinktas darželis","1.kg.selected"
"1 darželio vieta eileje","1.kg.queue"
"1 darželio Seniunija","1.kg.district"
"1 darželio grupes ugdomoji kalba","1.kg.language"
"1 darželio grupes ugdymo metodika","1.kg.method"
"1 darželio grupes tipas","1.kg.type"
"1 darželio grupes amžiaus intervalas","1.kg.age"
"Atitinka 1 darželiui priskirta teritorija","1.kg.match.district"
"1 darželi lanko broliai/seserys","1.kg.brothers"
"Tinkamu grupiu 1 darželyje","1.kg.cor.groups"
"2 pasirinktas darželis","2.kg.selected"
"2 darželio vieta eileje","2.kg.queue"
"2 darželio Seniunija","2.kg.district"
"2 darželio grupes ugdomoji kalba","2.kg.language"
"2 darželio grupes ugdymo metodika","2.kg.method"
"2 darželio grupes tipas","2.kg.type"
"2 darželio grupes amžiaus intervalas","2.kg.age"
"Atitinka 2 darželiui priskirta teritorija","2.kg.match.district"
"2 darželi lanko broliai/seserys","2.kg.brothers"
"Tinkamu grupiu 2 darželyje","2.kg.cor.groups"
"3 pasirinktas darželis","3.kg.selected"
"3 darželio vieta eileje","3.kg.queue"
"3 darželio Seniunija","3.kg.district"
"3 darželio grupes ugdomoji kalba","3.kg.language"
"3 darželio grupes ugdymo metodika","3.kg.method"
"3 darželio grupes tipas","3.kg.type"
"3 darželio grupes amžiaus intervalas","3.kg.age"
"Atitinka 3 darželiui priskirta teritorija","3.kg.match.district"
"3 darželi lanko broliai/seserys","3.kg.brothers"
"Tinkamu grupiu 13darželyje","3.kg.cor.groups"
"4 pasirinktas darželis","4.kg.selected"
"4 darželio vieta eileje","4.kg.queue"
"4 darželio Seniunija","4.kg.district"
"4 darželio grupes ugdomoji kalba","4.kg.language"
"4 darželio grupes ugdymo metodika","4.kg.method"
"4 darželio grupes tipas","4.kg.type"
"4 darželio grupes amžiaus intervalas","4.kg.age"
"Atitinka 4 darželiui priskirta teritorija","4.kg.match.district"
"4 darželi lanko broliai/seserys","4.kg.brothers"
"Tinkamu grupiu 4 darželyje","4.kg.cor.groups"
"5 pasirinktas darželis","5.kg.selected"
"5 darželio vieta eileje","5.kg.queue"
"5 darželio Seniunija","5.kg.district"
"5 darželio grupes ugdomoji kalba","5.kg.language"
"5 darželio grupes ugdymo metodika","5.kg.method"
"5 darželio grupes tipas","5.kg.type"
"5 darželio grupes amžiaus intervalas","5.kg.age"
"Atitinka 5 darželiui priskirta teritorija","5.kg.match.district"
"5 darželi lanko broliai/seserys","5.kg.brothers"
"Tinkamu grupiu 5 darželyje","5.kg.cor.groups"
